,Unnamed: 0.1,Unnamed: 0,continent,country,capital,image_globe,image_flag,details,level
16,16,22,Asia,Kazakhstan,Astana,Kazakhstan.png,Kazakhstan_flag.png,"Kazakhstan, officially the Republic of Kazakhstan, is a landlocked country primarily in Central Asia, with a small portion in Eastern Europe. It borders Russia to the north and west, China to the east, Kyrgyzstan to the southeast, Uzbekistan to the south, and Turkmenistan to the southwest, with a coastline along the Caspian Sea. Its capital is Astana, while the largest city and leading cultural and commercial hub is Almaty.",Hard
17,17,26,Asia,Kuwait,Kuwait City,,Kuwait_flag.png,"Iran, officially the Islamic Republic of Iran (IRI) and also known as Persia, is a country in West Asia. It borders Iraq to the west, Turkey, Azerbaijan, and Armenia to the northwest, the Caspian Sea to the north, Turkmenistan to the northeast, Afghanistan to the east, Pakistan to the southeast, and the Gulf of Oman and the Persian Gulf to the south. With a multi-ethnic population of over 92 million in an area of 1,648,195 km2 (636,372 sq mi), Iran ranks 17th globally in both geographic size and population.[8] It is the sixth-largest country entirely in Asia and one of the world's most mountainous countries. Officially an Islamic republic, Iran is divided into five regions with 31 provinces. Tehran is the nation's capital, largest city and financial centre.",
18,18,27,Asia,Kyrgyzstan,Bishkek,Kyrgyzstan.png,Kyrgyzstan_flag.png,"Kyrgyzstan, officially the Kyrgyz Republic, is a landlocked country in Central Asia lying in the Tian Shan and Pamir mountain ranges. Bishkek is the capital and largest city. Kyrgyzstan is bordered by Kazakhstan to the north, Uzbekistan to the west, Tajikistan to the south, and China to the east and southeast. Ethnic Kyrgyz make up the majority of the country's over 7 million people, followed by significant minorities of Uzbeks and Russians.",Hard
19,19,28,Asia,Laos,Vientiane,Laos.png,Laos_flag.png,in ASEAN (dark green)  –,Hard
20,20,29,Asia,Lebanon,Beirut,Lebanon.png,Lebanon_flag.png,"Lebanon, officially the Republic of Lebanon, is a country in the Levant region of West Asia. Situated at the crossroads of the Mediterranean Basin and the Arabian Peninsula, it is bordered by Syria to the north and east, Israel to the south, and the Mediterranean Sea to the west; Cyprus lies a short distance from the coastline. Lebanon has a population of more than five million and an area of 10,452 square kilometres (4,036 sq mi). Beirut is the country's capital and largest city.",Hard
21,21,30,Asia,Malaysia,Kuala Lumpur,Malaysia.png,Malaysia_flag.png,"Malaysia is a country in Southeast Asia. Featuring the southernmost point of continental Eurasia, it is a federal constitutional monarchy consisting of 13 states and three federal territories, separated by the South China Sea into two regions: Peninsular Malaysia on the Indochinese Peninsula and East Malaysia on the island of Borneo. Peninsular Malaysia shares land and maritime borders with Thailand, as well as maritime borders with Singapore, Vietnam, and Indonesia; East Malaysia shares land borders with Brunei and Indonesia, and a maritime border with the Philippines and Vietnam. Kuala Lumpur is the country's national capital, largest city, and the seat of the legislative branch of the federal government, while Putrajaya is the federal administrative capital,[18] representing the seat of both the executive branch (the Cabinet, federal ministries, and federal agencies) and the judicial branch of the federal government. With a population of over 34 million, it is the world's 42nd-most populous country.",Easy
22,22,31,Asia,Maldives,Malé,Maldives.png,Maldives_flag.png,"The Maldives, officially the Republic of Maldives, and historically known as the Maldive Islands, is an archipelagic country in South Asia located in the Indian Ocean. The Maldives is southwest of Sri Lanka and India, about 750 kilometres (470 miles; 400 nautical miles) from the Asian continent's mainland. The Maldives' chain of 26 atolls stretches across the equator from Ihavandhippolhu Atoll in the north to Addu Atoll in the south.",Easy
23,23,32,Asia,Mongolia,Ulaanbaatar,Mongolia.png,Mongolia_flag.png,"Mongolia is a landlocked country in East Asia, bordered by Russia to the north and China to the south and southeast. It covers an area of 1,564,116 square kilometres (603,909 square miles), with a population of 3.5 million, making it the world's most sparsely populated sovereign state. Mongolia is the world's largest landlocked country that does not border an inland sea, and much of its area is covered by grassy steppe, with mountains to the north and west and the Gobi Desert to the south. Ulaanbaatar, the capital and largest city, is home to roughly half of the country's population.",Hard
24,24,33,Asia,Myanmar,Naypyidaw,Myanmar.png,Myanmar_flag.png,in ASEAN (dark grey)  –,Easy
25,25,34,Asia,Nepal,Kathmandu,Nepal.png,Nepal_flag.png,"Nepal, officially the Federal Democratic Republic of Nepal, is a landlocked country in South Asia. It is mainly situated in the Himalayas, but also includes parts of the Indo-Gangetic Plain. It borders the Tibet Autonomous Region of China to the north, and India to the south, east, and west, while it is narrowly separated from Bangladesh by the Siliguri Corridor, and from Bhutan by the Indian state of Sikkim. Nepal has a diverse geography, including fertile plains, subalpine forested hills, and eight of the world's ten tallest mountains, including Mount Everest, the highest point on Earth. Kathmandu is the nation's capital and its largest city. Nepal is a multi-ethnic, multi-lingual, multi-religious, and multi-cultural state, with Nepali as the official language.",Easy
26,26,35,Asia,North Korea,Pyongyang,North_Korea.png,North_Korea_flag.png,"North Korea, officially the Democratic People's Republic of Korea (DPRK), is a country in East Asia. It constitutes the northern half of the Korean Peninsula and borders China and Russia to the north at the Yalu (Amnok) and Tumen rivers, and South Korea to the south at the Korean Demilitarized Zone (DMZ). The country's western border is formed by the Yellow Sea, while its eastern border is defined by the Sea of Japan. North Korea, like South Korea, claims to be the sole legitimate government of the entire peninsula and adjacent islands. Pyongyang is the capital and largest city.",Easy
27,27,36,Asia,Oman,Muscat,Oman.png,Oman_flag.png,"Oman, officially the Sultanate of Oman, is a country located on the southeastern coast of the Arabian Peninsula in West Asia and the Middle East. It shares land borders with Saudi Arabia, the United Arab Emirates, and Yemen. Oman’s coastline faces the Arabian Sea to the southeast and the Gulf of Oman on the northeast. The exclaves of Madha and Musandam are surrounded by the United Arab Emirates on their land borders, while Musandam’s coastal boundaries are formed by the Strait of Hormuz and the Gulf of Oman. The capital and largest city is Muscat. With a population of approximately 5.46 million and an area of 309,500 km2 (119,500 sq mi), Oman is the 123rd most-populous country.",Medium
28,28,37,Asia,Pakistan,Islamabad,Pakistan.png,Pakistan_flag.png,"Pakistan, officially the Islamic Republic of Pakistan, is a country in South Asia. It is the fifth-most populous country, with a population of over 241.5 million, having the second-largest Muslim population as of 2023. Islamabad is the nation's capital, while Karachi is its largest city and financial centre. Pakistan is the 33rd-largest country by area. Bounded by the Arabian Sea on the south, the Gulf of Oman on the southwest, and the Sir Creek on the southeast, it shares land borders with India to the east; Afghanistan to the west; Iran to the southwest; and China to the northeast. It shares a maritime border with Oman in the Gulf of Oman, and is separated from Tajikistan in the northwest by Afghanistan's narrow Wakhan Corridor.",Easy
29,29,38,Asia,Palestine,Ramallah,,Palestine_flag.png,"Palestine, officially the State of Palestine, is a country in West Asia. Recognized by 147 of the UN's 193 member states, it encompasses the Israeli-occupied West Bank, including East Jerusalem, and the Gaza Strip, collectively known as the occupied Palestinian territories, within the broader geographic and historical Palestine region. Palestine shares most of its borders with Israel, and it borders Jordan to the east and Egypt to the southwest. It has a total land area of 6,020 square kilometres (2,320 sq mi) while its population exceeds five million people. Its proclaimed capital is Jerusalem, while Ramallah serves as its administrative center. Gaza City was its largest city prior to evacuations in 2023.",
30,30,39,Asia,Philippines,Manila,Philippines.png,Philippines_flag.png,in ASEAN (dark grey)  –,Medium
31,31,40,Asia,Qatar,Doha,,Qatar_flag.png,"Qatar, officially the State of Qatar, is a country in West Asia. It occupies the Qatar Peninsula on the northeastern coast of the Arabian Peninsula in the Middle East; it shares its sole land border with Saudi Arabia to the south, with the rest of its territory surrounded by the Persian Gulf. The Gulf of Bahrain, an inlet of the Persian Gulf, separates Qatar from nearby Bahrain. The capital is Doha, home to over 80% of the country's inhabitants. Most of the land area is made up of flat, low-lying desert.",
32,32,41,Asia,Russia,Moscow,Russia.png,Russia_flag.png,"Russia, or the Russian Federation, is a country spanning Eastern Europe and North Asia. It is the largest country in the world, and extends across eleven time zones, sharing land borders with fourteen countries. Russia is the most populous country in Europe and the ninth-most populous country in the world. It is a highly urbanised country, with sixteen of its urban areas having more than 1 million inhabitants. Moscow, the most populous metropolitan area in Europe, is the capital and largest city of Russia, while Saint Petersburg is its second-largest city and cultural centre.",Easy
33,33,45,Asia,Saudi Arabia,Riyadh,Saudi_Arabia.png,Saudi_Arabia_flag.png,"Saudi Arabia, officially the Kingdom of Saudi Arabia (KSA), is a country in West Asia. Located in the centre of the Middle East, it covers the bulk of the Arabian Peninsula and has a land area of about 2,150,000 km2 (830,000 sq mi), making it the fifth-largest country in Asia, the largest in the Middle East, and the 12th-largest in the world. It is bordered by the Red Sea to the west; Jordan, Iraq, and Kuwait to the north; the Persian Gulf, Bahrain, Qatar and the United Arab Emirates to the east; Oman to the southeast; and Yemen to the south. The Gulf of Aqaba in the northwest separates Saudi Arabia from Egypt and Israel. Saudi Arabia is the only country with a coastline along both the Red Sea and the Persian Gulf, and most of its terrain consists of arid desert, lowland, steppe, and mountains. The capital and largest city is Riyadh; other major cities include Jeddah and the two holiest cities in Islam, Mecca and Medina. With a population of almost 32.2 million, Saudi Arabia is the fourth most populous country in the Arab world.",Medium
34,34,46,Asia,Singapore,Singapore,,Singapore_flag.png,"Singapore, officially the Republic of Singapore, is an island country and city-state in Southeast Asia. The country's territory comprises one main island, 63 satellite islands and islets, and one outlying islet. It is about one degree of latitude (137 kilometres or 85 miles) north of the equator, off the southern tip of the Malay Peninsula, bordering the Strait of Malacca to the west, the Singapore Strait to the south along with the Riau Islands in Indonesia, the South China Sea to the east, and the Straits of Johor along with the State of Johor in Malaysia to the north.",
35,35,47,Asia,South Korea,Seoul,South_Korea.png,South_Korea_flag.png,"South Korea, officially the Republic of Korea (ROK), is a country in East Asia. It constitutes the southern half of the Korean Peninsula and borders North Korea along the Korean Demilitarized Zone, with the Yellow Sea to the west and the Sea of Japan to the east. Like North Korea, South Korea claims to be the sole legitimate government of the entire peninsula and adjacent islands. It has a population of about 52 million, of which half live in the Seoul Metropolitan Area, the ninth most populous metropolitan area in the world; other major cities include Busan, Daegu, and Incheon.",Medium
36,36,48,Asia,Sri Lanka,Sri Jayawardenepura Kotte,Sri_Lanka.png,Sri_Lanka_flag.png,"Sri Lanka, officially the Democratic Socialist Republic of Sri Lanka, also known historically as Ceylon, is an island country in South Asia. It lies in the Indian Ocean, southwest of the Bay of Bengal, separated from the Indian peninsula by the Gulf of Mannar and the Palk Strait. It shares a maritime border with the Maldives in the southwest and India in the northwest. Sri Jayawardenepura Kotte is the legislative capital of Sri Lanka, while the largest city, Colombo, is the administrative and judicial capital which is the nation's political, financial and cultural centre. Kandy is the second-largest urban area and also the capital of the last native kingdom of Sri Lanka. The most spoken language Sinhala, is spoken by the majority of the population (approximately 17 million). Tamil is also spoken by approximately five million people, making it the second most-spoken language in Sri Lanka.",Easy
37,37,49,Asia,Syria,Damascus,Syria.png,Syria_flag.png,"Syria, officially the Syrian Arab Republic, is a country in West Asia located in the Eastern Mediterranean and the Levant. It borders the Mediterranean Sea to the west, Turkey to the north, Iraq to the east and southeast, Jordan to the south, and Israel and Lebanon to the southwest. It is a republic under a transitional government and comprises 14 governorates. Damascus is the capital and largest city. With a population of 25 million across an area of 185,180 square kilometres (71,500 sq mi), it is the 57th-most populous and 87th-largest country.",Medium
38,38,50,Asia,Taiwan,Taipei,Taiwan.png,,"Taiwan, officially the Republic of China (ROC), is a country in East Asia. The main island of Taiwan, also known as Formosa, lies between the East and South China Seas in the northwestern Pacific Ocean, with the People's Republic of China (PRC) to the northwest, Japan to the northeast, and the Philippines to the south. It has an area of 35,808 square kilometres (13,826 square miles), with mountain ranges dominating the eastern two-thirds and plains in the western third, where its highly urbanized population is concentrated. The combined territories under ROC control consist of 168 islands in total covering 36,193 square kilometres (13,974 square miles). The largest metropolitan area is formed by Taipei (the capital), New Taipei City, and Keelung. With around 23.9 million inhabitants, Taiwan is among the most densely populated countries.",
39,39,51,Asia,Tajikistan,Dushanbe,Tajikistan.png,Tajikistan_flag.png,"Tajikistan, officially the Republic of Tajikistan, is a landlocked country in Central Asia. Dushanbe is the capital and most populous city. Tajikistan borders Afghanistan to the south, Uzbekistan to the west, Kyrgyzstan to the north, and China to the east. It is separated from Pakistan by Afghanistan's Wakhan Corridor. It has a population of over 10.7 million people.",Hard
40,40,52,Asia,Thailand,Bangkok,Thailand.png,Thailand_flag.png,"Thailand, officially the Kingdom of Thailand and historically known as Siam (the official name until 1939), is a country in Southeast Asia on the Indochinese Peninsula. With a population of almost 66 million, it spans 513,115 square kilometres (198,115 sq mi). Thailand is bordered to the northwest by Myanmar, to the northeast and east by Laos, to the southeast by Cambodia, to the south by the Gulf of Thailand and Malaysia, and to the southwest by the Andaman Sea; it also shares maritime borders with Vietnam to the southeast and Indonesia and India to the southwest. Bangkok is the state capital and largest city.",Easy
41,41,53,Asia,Timor-Leste,Dili,,Timor-Leste_flag.png,"Timor-Leste, also known as East Timor, officially the Democratic Republic of Timor-Leste, is a country in Southeast Asia. It comprises the eastern half of the island of Timor, the coastal exclave of Oecusse in the island's northwest, and the outer islands of Atauro and Jaco. Timor-Leste shares a land border with Indonesia to the west, and Australia is the country's southern neighbour, across the Timor Sea. The country's size is 14,950 square kilometres (5,770 sq mi). Dili, on the north coast of Timor, is its capital and largest city.",
42,42,54,Asia,Turkey,Ankara,Turkey.png,Turkey_flag.png,"Turkey, officially the Republic of Türkiye, is a country mainly located in Anatolia in West Asia, with a relatively small part called East Thrace in Southeast Europe. It borders the Black Sea to the north; Georgia, Armenia, Azerbaijan, and Iran to the east; Iraq, Syria, and the Mediterranean Sea to the south; and the Aegean Sea, Greece, and Bulgaria to the west. Turkey is home to over 85 million people; most are ethnic Turks, while ethnic Kurds are the largest ethnic minority. Officially a secular state, Turkey has a Muslim-majority population. Ankara is Turkey's capital and second-largest city. Istanbul is its largest city and economic center. Other major cities include İzmir, Bursa, and Antalya.",Medium
43,43,58,Asia,Turkmenistan,Ashgabat,,Turkmenistan_flag.png,"Turkmenistan is a landlocked country in Central Asia bordered by Kazakhstan to the northwest, Uzbekistan to the north, east and northeast, Afghanistan to the southeast, Iran to the south and southwest and the Caspian Sea to the west. Ashgabat is the capital and largest city. It is one of the six independent Turkic states. With a population over 7 million, Turkmenistan is the 35th most-populous country in Asia and has the lowest population of the Central Asian republics while being one of the most sparsely populated nations on the Asian continent.",
44,44,59,Asia,United Arab Emirates,Abu Dhabi,United_Arab_Emirates.png,United_Arab_Emirates_flag.png,"The United Arab Emirates (UAE), or simply the Emirates, is a country in West Asia, in the Middle East, at the eastern end of the Arabian Peninsula. It is a federal elective monarchy made up of seven emirates, with Abu Dhabi serving as its capital.[13] It shares land borders with Oman to the east and northeast, and with Saudi Arabia to the southwest; as well as maritime borders in the Persian Gulf with Qatar and Iran, and with Oman in the Gulf of Oman. As of 2024, the UAE has an estimated population of over 10 million, of which 11% are Emiratis; Dubai is its most populous city and is an international hub.[14][15] Islam is the official religion and Arabic is the official language, while English is the most spoken language and the language of business.",Medium
45,45,60,Asia,Uzbekistan,Tashkent,Uzbekistan.png,Uzbekistan_flag.png,"Uzbekistan, officially the Republic of Uzbekistan, is a doubly landlocked country located in Central Asia. It is surrounded by five countries: Kazakhstan to the north, Kyrgyzstan to the northeast, Tajikistan to the southeast, Afghanistan to the south, and Turkmenistan to the southwest, making it one of only two doubly landlocked countries on Earth, the other being Liechtenstein. The country has a population of more than 37.5 million, making it the most populous country in Central Asia. Uzbekistan is a member of the Organization of Turkic States. Uzbek, spoken by the Uzbek people, is the official language and spoken by the majority of its inhabitants, while Russian and Tajik are significant minority languages. Islam is the predominant religion, and most Uzbeks are Sunni Muslims.",Hard
46,46,61,Asia,Vietnam,Hanoi,Vietnam.png,Vietnam_flag.png,in ASEAN (dark grey),Easy
47,47,62,Asia,Yemen,Sana'a,Yemen.png,Yemen_flag.png,"Yemen, officially the Republic of Yemen, is a country in West Asia. Located in southern Arabia, it borders Saudi Arabia to the north, Oman to the northeast, the south-eastern part of the Arabian Sea to the east, the Gulf of Aden to the south, and the Red Sea to the west, sharing maritime borders with Djibouti, Eritrea, and Somalia across the Horn of Africa. Covering roughly 455,503 square kilometres (175,871 square miles), with a coastline of approximately 2,000 kilometres (1,200 miles), Yemen is the second largest country on the Arabian Peninsula. Sanaa is its constitutional capital and largest city. Yemen's estimated population is 34.7 million, mostly Arab Muslims. It is a member of the Arab League, the United Nations, the Non-Aligned Movement and the Organisation of Islamic Cooperation.",Hard
48,48,63,Europe,Albania,Tirana,Albania.png,Albania_flag.png,"Albania (/ælˈbeɪniə, ɔːl-/ ⓘ a(w)l-BAY-nee-ə; Albanian: Shqipëri or Shqipëria), officially the Republic of Albania (Albanian: Republika e Shqipërisë), is a country in Southeast Europe. It is located in the Balkans, on the Adriatic and Ionian Seas within the Mediterranean Sea, and shares land borders with Montenegro to the northwest, Kosovo to the northeast, North Macedonia to the east and Greece to the south. With an area of 28,748 km2 (11,100 sq mi), it has a varied range of climatic, geological, hydrological and morphological conditions. Albania's landscapes range from rugged snow-capped mountains in the Albanian Alps and the Korab, Skanderbeg, Pindus and Ceraunian Mountains, to fertile lowland plains extending from the Adriatic and Ionian seacoasts. Tirana is the capital and largest city in the country, followed by Durrës, Vlorë, and Shkodër.",Hard
49,49,64,Europe,Andorra,Andorra la Vella,,Andorra_flag.png,in Europe (dark grey),
50,50,65,Europe,Austria,Vienna,Austria.png,Austria_flag.png,"Austria, formally the Republic of Austria, is a landlocked country in Central Europe, lying in the Eastern Alps. It is a federation of nine states, of which the capital Vienna is the most populous city and state. Austria is bordered by Germany to the northwest, the Czech Republic to the north, Slovakia to the northeast, Hungary to the east, Slovenia and Italy to the south, and Switzerland and Liechtenstein to the west. The country occupies an area of 83,879 km2 (32,386 sq mi) and has a population of around 9 million.",Easy
51,51,66,Europe,Belarus,Minsk,Belarus.png,Belarus_flag.png,"Belarus, officially the Republic of Belarus, is a landlocked country in Eastern Europe. It is bordered by Russia to the east and northeast, Ukraine to the south, Poland to the west, and Lithuania and Latvia to the northwest. Belarus spans an area of 207,600 square kilometres (80,200 sq mi) with a population of 9.1 million. The country has a hemiboreal climate and is administratively divided into six regions. Minsk is the capital and largest city; it is administered separately as a city with special status.",Medium
52,52,67,Europe,Belgium,Brussels,Belgium.png,Belgium_flag.png,"Belgium, officially the Kingdom of Belgium, is a country in Northwestern Europe. Situated in a coastal lowland region known as the Low Countries, it is bordered by the Netherlands to the north, Germany to the east, Luxembourg to the southeast, France to the south, and the North Sea to the west. Belgium covers an area of 30,689 km2 (11,849 sq mi)[4] and has a population of more than 11.8 million;[7] its population density of 383/km2 (990/sq mi) ranks 22nd in the world and sixth in Europe. The capital and largest metropolitan region is Brussels;[d] other major cities are Antwerp, Ghent, Charleroi, Liège, Bruges, Namur, and Leuven.",Medium
